Kode Perusahaan,Perusahaan, GPM , OPM , NPM 
ADHI,PT Adhi Karya (Persero) Tbk., 0.1526 , 0.0773 , 0.0434 
PTPP,PT PP (Persero) Tbk., 0.1430 , 0.0503 , 0.0490 
DGIK,PT Nusa Konstruksi Enjiniring Tbk., 0.1363 , 0.0049 , 0.0013 
TOTL,PT Total Bangun Persada Tbk., 0.1456 , 0.0721 , 0.0709 
JKON,PT Jaya Kontruksi Manggala Pratama Tbk., 0.1498 , 0.0472 , 0.0370 
WIKA,PT Wijaya Karya (Persero) Tbk., 0.1279 , 0.1025 , 0.0963 
NRCA,PT Nusa Raya Cipta Tbk., 0.1047 , 0.0640 , 0.0386 
WSKT,PT Waskita Karya (Persero) Tbk., 0.1786 , 0.0423 , 0.0328 
CSIS,PT Cahayasakti Investo Sukses Tbk., 0.1659 ,-0.1400 ,-0.1364 
IDPR,PT Indonesia Pondasi Raya Tbk., 0.1703 ,-0.0003 ,-0.0037 
TOPS,PT Totalindo Eka Persada Tbk., 0.1188 ,-0.2107 ,-0.2832 
WEGE,PT Wijaya Karya Bangunan Gedung Tbk., 0.1018 , 0.1000 , 0.0999 
SKRN,PT Superkrane Mitra Utama Tbk., 0.3868 , 0.2630 , 0.2014 
PBSA,PT Paramita Bangun Sarana Tbk., 0.1396 , 0.0399 , 0.0219 
TAMA,PT Lancartama Sejati Tbk., 0.4273 , 0.0691 , 0.0383 
SSIA,PT Surya Semesta Internusa Tbk., 0.2724 , 0.0411 , 0.0340 
