Perusahaan,GPM19,GPM20,GPM21,OPM19,OPM20,OPM21,NPM19,NPM20,NPM21
PT Adhi Karya (Persero) Tbk.,15%,16%,13%,5%,3%,0%,4%,2%,-1%
PT PP (Persero) Tbk.,12%,14%,13%,5%,5%,6%,5%,2%,2%
PT Nusa Konstruksi Enjiniring Tbk.,14%,10%,14%,0%,-3%,3%,0%,-3%,2%
PT Total Bangun Persada Tbk.,15%,12%,12%,7%,5%,6%,7%,5%,6%
PT Jaya Kontruksi Manggala Pratama Tbk.,15%,16%,13%,5%,3%,0%,4%,2%,-1%
PT Wijaya Karya (Persero) Tbk.,13%,9%,10%,10%,2%,1%,10%,2%,1%
PT Nusa Raya Cipta Tbk.,10%,11%,11%,6%,5%,6%,4%,3%,3%
PT Waskita Karya (Persero) Tbk.,18%,-12%,16%,4%,-60%,-9%,3%,-59%,-15%
PT Cahayasakti Investo Sukses Tbk.,17%,39%,39%,-14%,18%,26%,-14%,15%,24%
PT Indonesia Pondasi Raya Tbk.,17%,-35%,2%,0%,-58%,-16%,0%,-59%,-17%
PT Totalindo Eka Persada Tbk.,12%,2%,6%,-21%,-39%,3%,-28%,-42%,0%
PT Wijaya Karya Bangunan Gedung Tbk.,10%,8%,9%,10%,6%,7%,10%,6%,7%
PT Superkrane Mitra Utama Tbk.,39%,25%,7%,26%,3%,-1%,20%,2%,1%
PT Paramita Bangun Sarana Tbk.,14%,17%,43%,4%,10%,33%,2%,8%,30%
PT Lancartama Sejati Tbk.,43%,44%,34%,7%,-12%,3%,4%,-16%,5%
PT Surya Semesta Internusa Tbk.,27%,22%,22%,4%,-3%,-8%,3%,-3%,-8%
