Perusahaan,GPM19,GPM20,GPM21,OPM19,OPM20,OPM21,NPM19,NPM20,NPM21
PT. ADHI KARYA (Persero) Tbk.,0.1498,0.1636,0.1340,0.0472,0.0298,-0.0043,0.0370,0.0172,-0.0107
PT. PP (Persero) Tbk.,0.1175,0.1373,0.1297,0.0503,0.0477,0.0577,0.0490,0.0168,0.0216
PT. Nusa Konstruksi Enjiniring Tbk.,0.1363,0.0987,0.1389,0.0049,-0.0286,0.0283,0.0013,-0.0313,0.0214
PT. Total Bangun Persada Tbk.,0.1456,0.1191,0.1212,0.0721,0.0490,0.0591,0.0709,0.0474,0.0582
PT. Jaya Kontruksi Manggala Pratama Tbk.,0.1498,0.1636,0.1340,0.0472,0.0298,-0.0043,0.0370,0.0172,-0.0107
PT. Wijaya Karya (Persero) Tbk.,0.1279,0.0922,0.0952,0.1025,0.0188,0.0110,0.0963,0.0195,0.0120
PT. Nusa Raya Cipta Tbk.,0.1047,0.1097,0.1139,0.0640,0.0543,0.0582,0.0386,0.0264,0.0309
PT. Waskita Karya (Persero) Tbk.,0.1786,-0.1222,0.1553,0.0423,-0.6009,-0.0889,0.0328,-0.5865,-0.1504
PT. Cahayasakti Investo Sukses Tbk.,0.1659,0.3890,0.3870,-0.1400,0.1804,0.2595,-0.1364,0.1455,0.2372
PT. Indonesia Pondasi Raya Tbk.,0.1703,-0.3537,0.0240,-0.0003,-0.5825,-0.1640,-0.0037,-0.5858,-0.1668
PT. Totalindo Eka Persada Tbk.,0.1188,0.0219,0.0569,-0.2107,-0.3932,0.0308,-0.2832,-0.4232,0.0010
PT. Wijaya Karya Bangunan Gedung Tbk.,0.1018,0.0755,0.0854,0.1000,0.0556,0.0683,0.0999,0.0556,0.0683
PT. Superkrane Mitra Utama Tbk.,0.3868,0.2529,0.0717,0.2630,0.0267,-0.0080,0.2014,0.0193,0.0093
PT. Paramita Bangun Sarana Tbk.,0.1396,0.1690,0.4314,0.0399,0.0961,0.3314,0.0219,0.0781,0.2985
PT. Lancartama Sejati Tbk.,0.4273,0.4357,0.3377,0.0691,-0.1236,0.0341,0.0383,-0.1594,0.0505
PT. Surya Semesta Internusa Tbk.,0.2724,0.2155,0.2197,0.0411,-0.0340,-0.0835,0.0340,-0.0262,-0.0813
